# Tectonic upstream baseline file manifest
# revision	upstream-3.0.17-forge-1.20.1
# revision_timestamp	2025-11-08T00:24:20-05:00
path	size_bytes	sha256	source_set	in_final_forge_1_20_1_jar	inclusion_mode
src/common/main/java/dev/worldgen/tectonic/mixin/StructurePieceMixin.java	1169	5b2561eaddfb7d23852dc4661695aa61d06023d606785169c2e3d0b3bc3d3371	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/TemperatureModifierMixin.java	708	a06a9413e8d29d95e2474ab6e053721c9e982d3f5a07eed375eab8625a5e1974	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/mixin/WorldCarverMixin.java	597	89c969efb01f1efdb61c8a289342c774019e579ddf024d42adaa1d3eab7d0015	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/Tectonic.java	1604	0ffcfc5b17a3009d4104f55c4ce3bcbd981ce1ee71fe762a62b64a2fc535e4f1	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/TectonicTags.java	310	0c0df083608d9437063d73b538fcd790445e297ad2c7fa8e1ae1939d8678c695	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/worldgen/densityfunction/ConfigClamp.java	1742	40b312f43e20f1181bb18b1a971e2a74c5acf92cd94fc184edc02c2b2e518dc1	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/worldgen/densityfunction/ConfigConstant.java	1667	7072e077b817de23bb8f7e49b2d149a347c35fbf3913221900556dbe6544fa21	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/worldgen/densityfunction/ConfigNoise.java	2720	4a342125a33cf892bb73fe41defe5ff041e999a289d9cb2058a1f5569efaf45d	common:main	YES	compiled class
src/common/main/java/dev/worldgen/tectonic/worldgen/densityfunction/Invert.java	1834	a233b5b973c8895b6c94e24fbbd35a6127320550d705e92403cdf895ac743b2c	common:main	YES	compiled class
src/common/main/resources/assets/tectonic/lang/en_us.json	9702	92b0f7a4f584d0000f3484cb108cec6251601b10bbcce1a27483c0372e46ff02	common:main	YES	resource
src/common/main/resources/pack.mcmeta	212	17ad895ee2381c35e91f1727b55be87dbd7ab9d8790ed751ba9f592e1c1a0077	common:main	YES	resource
src/common/main/resources/pack.png	27720	851f803476cd2622975801a3c1ac44de51715d27f77abd3008009ef673c30a71	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/dimension_type/overworld.json	663	21690cca3a13b51ad59a63a4f63a97d3922a6fa25de2f8b7462e58c7305ffc80	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/barrier.json	628	589f881428b215629e0990f5b57d1f69eaf3c8619d091f0052bfcc7803691340	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/continents.json	100	c8e2722de00bf4e36a82f574225d2cce3469df9fe1673de1dd951336f5a58690	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/depth.json	368	bc0186a3a77bdeedb4c2f8c819747497e8954f71a6a044035f73714f324b44fa	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/erosion.json	102	efcb51f3e5fc836dba099a4d89147a09b70c3a890e0bfb561c01adf21f16acaf	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/final_density.json	1808	ef1594064f92b89aa3e4e30928e1662feed96074e04f2da01f475d4071893ff7	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/fluid_level_floodedness.json	332	24e341b73e547c48dedd3df7b468c821eada878df553c9aad12698369d65113c	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/fluid_level_spread.json	139	bd97cf9fb120dbe11a1439703ef24da70fbb4c237af9e9c5c0937aede9fe8cd1	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/initial_density_without_jaggedness.json	1701	9bfa7bb4534bbb8c55e00f05bf96c4e09be8bd7d542b510b8d967cc84ccb2118	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/lava.json	110	d216b372587b1e585cb516ed1f0544b5b66d1ed7f28545c99e807cdd53d796a1	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/ridges.json	101	f1df998ea5878b4343145e8f902960b070c079166a84519c3e44e8d3a4b8f81f	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/temperature.json	101	320862167d2b080aaa2e53cb1cc24f7bd07347cc8b1568c10a39c9d29bfe68d7	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/vegetation.json	100	802c830caef6d081ef7756772c9ca9a024b71598cdd2d814fff24f85d04f41de	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/vein_gap.json	105	5715a032a79dd0d5a0bb4c8fcb287f34fe3eb1c84367c3e93e66da5c2eb4f755	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/vein_ridged.json	1202	c8edb3c3e113f003d3cf1d0c163fe4bc9195c215a9be328455ed4b405e7761de	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/noise_router/vein_toggle.json	373	cd75ce1ff6819c9aa1da3ecb112a8669f5d3807a2cf99b60e8823f492d80f73c	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/temperature.json	108	19c9f3a094efe2f0454d21dcefc516613e6e6e8d3ecb89f70e1ebe1aff9ed271	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/density_function/overworld/vegetation.json	107	da547ecf1d54d6f0ada006c0be631a47eb9840109e0683e49cda9f8ba86da46f	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/noise_settings/overworld.json	100212	5f58c96cbdc444c1693cf9b5faeab19cf0fd7793fc7a626b6637148bf2eb7a2e	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/noise/badlands_pillar_roof.json	59	accd97bd3f03f43a16d1381214958c600d3c653cfb8715a3b84bce9b07c3c64f	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/minecraft/worldgen/noise/badlands_surface.json	79	a11dc463542f189184e330fcf2af438cda11e48bd25857c0ea090bbdcde8f735	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/tags/block/terralith_surface.json	216	d4801182e9c51dd45897b0f4954b2b467fa71164a23beb868528ea0f983aba40	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/configured_feature/river_lanterns.json	2146	78b9eb6d85a0a717bc5523419b7ba1e5b4d746a4612a3c40fa8370fc68d51dec	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/base_terrain.json	92	e103a2f29d01e968207299f4841754e8d7164b4df4530c5a9b80b87ea6663d2b	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/biome_parameter/erosion.json	3227	cff34c6402a05a2060cedbd9c1f013c2d733b0c78f0e16e02426e0cd2da3f2cf	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/biome_parameter/ridges.json	4913	ec27ab9f242358e07c0dacc7243fc319545435f0f1316e07aa5b771563445e86	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/blend_alpha.json	1409	413309d826746cb40c9a7352c010adb8289168f49f6787b85b8be8d9cd7b7bd7	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/cave/cheese.json	334	92ccb179d651e85a7d1a640cffe4eb43dc0271529f17097682b80faf1bf2ccf6	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/cave/noodle.json	4703	75d2ef961e998070bb1f761a8b9c5b88fe62290ad1e308f2193807e39fbde486	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/caves.json	3429	3f14f0d9aef0e4fa7f8bf669d7adcf6c1eea22d5ca9c31b77812c86ff9aa7994	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/continent_selector.json	317	e3e13602ae809cec606a7f2038961eb28abf39c7f163557881d196e8676efa5c	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/depth.json	316	2d67cc765ae6594282679a6de05f3867f35aa98998a2bbd3b4814fd30c20eff8	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/island_selector.json	327	61efd4afddd997b7ac418d6f1b649b36f00c403c1b236b941fa55a6979d695fa	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/lava_tunnel/ridges.json	2713	8da822333e642a0542eb51fc9dbe2f26b52b59682c633995b7d247a42e4dff83	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/lava_tunnel/total.json	1012	ec488d3ea448bfcba698744086c3c0407fdb7f09028b728628566cf509037d4a	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/noiseshift/base.json	117	eae4379cfecfa49b11707b512e7d58eb5747f798a525996a636a4e6ca082266b	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/noiseshift/shiftx.json	177	10c078610716063d6f7181630624722cce54d740632d1091d16dcde019b312ff	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/noiseshift/shiftz.json	177	1cfa3efcacc5bb727f0431888b042c407b858486318801011f2dfe0aa67deac9	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/noiseshift/slopex.json	232	088d33f6682c4bdb205cb9be035df99b6872adbb656ef3cce8f17e75e0743480	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/noiseshift/slopez.json	232	c3af724f6f60d45519a721a90b8f68069e8477e0d9181890c4147b70e9910f5a	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/ridges.json	375	9f99329b34c191300a88339848368a50963bc53e17e9043ca1855a13d76546f8	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/shifteddetail.json	542	b2cbc7c84bc25b239933af3c19a532d6c854a46f96bbf490d45c2cc1ac96becd	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/mountain_ridges/weathering.json	883	04524eb92338ee292570cfb59de92605b5cc21e79552f5ab810ba6afa7086dc8	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/continent/erosion_folded.json	82	15b26fafff06c53ea2f94ecc7bdd23fb8e085be79fc6c4582d7ee95141c8e6f6	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/continent/erosion_raw.json	91	98e20d8908470c5e2ce8a07922047879b240d4d7c46eb9d99ffc01332669e66d	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/continent/erosion.json	634	2fbf2e1f6714bdfcbb6a47b639abeaadb16ef0e516277235db3976c4ac039fa3	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/continent/ridges_folded.json	81	e633971313a87c68bba859de42d4944b78b4333da2fce9fbb73bcf086d214277	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/continent/ridges.json	89	521a9f07220206385958cb62427fb78a148a18433e040a32f3c5a72d307c0648	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/full_continents.json	918	45679e4ee55f48e0072bcb68363b5fd509475bb524cbc12b40a58ed37483450e	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/island/erosion.json	362	87db05ab893a9de9a6adcccdaf8e3598eb4fb45f5fed5eaf4cc9b89744a624ac	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/island/ridges_folded.json	755	635fdf43522f0366ec0953c8e516e116bd3494c6c39710fe8b3cfda4b28d1800	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/island/ridges.json	482	c1b5e24bedde47417e743dc55b943b262f372437079dd6cad3bd5fec99f65c6f	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/raw_continents.json	742	127273f2edb6d996d0d40ed488420f4317527cd42d7c72b71c5b0526fc364241	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/raw_islands.json	1153	34af32ee2c2826839d29af70fe8f6fa9d8d6e4ba23b7705ebc18a9ffbd6ad4a8	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/region_selector.json	407	9e19fc6205b29ebae29cf1f050e5b92bca7eaabd675ee2c711f90be32c803313	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/temperature_index.json	1174	ba53a926dd65642a0fad41c478fa7f969503f3a6ada9e7c6297ff76e61861b47	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/noise/vegetation_index.json	1173	26a99d069d9307020f0985d0907a01af6c32635072e7c7fe58e6a02a4c5984c6	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/club_weak.json	4360	3e5e6b0a53c6e14e5cf8a56150b541a82cd875a18d70a8beff855b5070762e28	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/club.json	5487	20f88179bb57e7600cecd09d0b8bdf4c906a4416b00bbdd3b88eb2101ef9d3fd	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/club/badlands_ridge.json	281	5ab757533962c3750cafe6a61417b59baa39e5e8a6b1f9bcc5980d5302c9f23b	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/club/double_valley_spline.json	1992	1efd64768bc3a4d49e4d73ed21d9478721ea841a7be2d0e90c7afeaa73ca6287	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/club/plateau_spline.json	1798	ddda23e2813aa0cd2df3e7774bd684caa711f732b20c75f1da486d4f84b268c7	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/club/single_valley_spline.json	1894	45988bdab912a8421058134f193c944c839f85d6725fe2ec2d6317cff6f0288c	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/diamond.json	3716	86dd1b3adf6f96ce2bc6700bbd226b2d87aed1da664cf802ff3a6a10daa01119	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/diamond/dune/final.json	3155	e462b0db00f270a18468ebd3a0ea30ce4a26b2224fa910d1b0fb1f7fba5b522e	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/diamond/dune/noise.json	342	fa8f7c98871d1185b0f8d479b65412aefb47e0ae2184b9969d4c2b2a89cd397f	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/diamond/dune/offset_x.json	548	81b5675f13f58ac3ca978cb55a95d81b75d7e636a8e02c7708f5568fcc73aa6d	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/diamond/dune/offset_z.json	617	8d5cfe694fafccca3b039101711746739fe2f5d3233589473c0426536553f8da	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/diamond/dune/spline.json	4007	43f00f97f82b681b1626d7dd32d76c48d1e38897aef793a9ac38c205a9ec0f7d	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/heart.json	5414	bdb74c9e0bbe15f58da1cf5f9f4ca535356f9c2c9dcadc14c1e57d15d8fd7cb2	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/heart/jungle_pillar.json	419	0efc8d90fb852ecec187d0febade880f7c6be02f16639c4445dfcac8019dd90c	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/heart/rolling_hills.json	298	e311eb3468bef5ce8fadf8e78dee26d01f680b56bcb251579c1ed46ace504d38	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/spade_weak.json	2420	ce296d50c890de62a9707c637dc9ad6f8eb01d8d2a2a6cc1ef6442fc6c306442	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/spade.json	3531	e3a86b8a319e7cafbe880e7c90442e77c3f706f66e14a522d6cddfba8655590c	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/spade/lower_tier.json	177	f272436d8f0902f0fe9c1720165167fa33dcfefeac637d92bfd92b40f18eb8e8	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/region/spade/upper_tier.json	177	4a8f58dc1ab72ae84fb63762167747c512448bc3f861e3d1f6cd8670241821e3	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/sloped_cheese.json	4762	b4d5c658d6bce5918a3e6350b0eb8b634647b4bd3250243822ade0d50485f11b	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/factor/continents.json	4956	2367cbca7a2dc17a11d05690b7d908cfdbf418c6f9b3650b96287de5c0186259	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/factor/islands.json	3	5fa067c1e4cdd35a5916d6eab8a27fb0f32778ce1de6c013e44ac205822b6698	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/jaggedness/continents.json	911	6abebbfda3460394dbaced9c82289f16799c07b8e474002c37682e3b9f771168	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/jaggedness/islands.json	2690	04591177dc9b71a9828fd1990264e3bcf279f44c28f28b9e88ad1c34c0fe5368	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/ocean.json	1937	2d1be0d9b2fc86dc6df280bd20e46449ce5c12dd7151d3db5fe2916a1720cfe1	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/offset/continents.json	16989	44018fd696982fd14fed38027833a57dfdffe1743472f06bf26bcb95b533f375	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/offset/depth_additive.json	19074	b4e472c15723e52a462546c9012b7722b957b9a1de4a8d83814dd3b9f4394ea4	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/offset/islands.json	12302	9c2bdf8793e039cf8fafed03349a12ceed210dc35393f4c8796deb9db841ee03	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/offset/regions_weak.json	2533	95a5ee436e5d232a6eaa5e9cf1c897744489dd8d74d6a32d8e2da2c4eeeae0dd	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/offset/regions.json	4226	c258cb70466aa45ea41cafe27cbf9d8ae5d0280d80c440d670a23fbb5b70442a	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/terrain_spline/roughness.json	1212	370d90cda5c58c73d382f3726bdd43a0b2107621ef3823e3533445e2efbb8079	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/underground_river/noise/density_additive.json	403	4e5bb66c492aafc09945d4b47c6aa194d334af384e03a459f206f54b397b05e4	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/underground_river/noise/height_additive.json	121	0cf20f8131662d7f681f56741d1075f175c787761c6372064031000b307f3aa1	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/underground_river/noise/height.json	418	eccba6d40f28bf617bb81c0c6edcc7eb4e47bdd1de30805be0f91dc7d5cca0a9	common:main	YES	resource
src/common/main/resources/resourcepacks/tectonic/data/tectonic/worldgen/density_function/underground_river/noise/roof_sharpness.json	643	8005d1073a8fc829ba9a13e854e82d77dc796d1093adbb23f5acca4f4fe4021c	common:main	YES	resource
